"target","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15"
33,1,599,3,3,992,10,70,14.69,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
40,1,599,3,3,992,10,88,18.46,6,9,1,20,27,33,2
38,1,796,3,3,1.51,9,69,10.89,6,12,1,25,27,33,2
38,1,796,3,3,1.51,9,69,10.89,6,12,1,25,27,33,2
30,2,799,3,3,1.26,19,100,15.73,6,9,1,20,27,33,2
30,2,799,3,3,1.26,19,100,15.73,6,9,1,20,27,33,2
29,1,899,4,3,1.42,9,65,9.09,7,11,1,23,27,33,2
33,1,954,4,3,0.886,9,74,9.75,6,12,1,25,27,33,2
40,1,973,3,3,1.84,10,82,10.59,6,9,2,20,27,33,4
40,1,973,3,3,1.84,10,82,10.59,6,9,2,20,27,33,4
43,1,973,4,3,1.84,10,85,10.98,6,9,2,20,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
41,1,989,3,3,1125,10,88,11.18,6,14,2,21,27,33,4
39,1,993,3,3,1.41,10,76,9.62,6,12,1,21,27,33,2
39,1,993,3,3,1.41,10,76,9.62,6,12,1,21,27,33,2
40,1,993,4,3,847,9,77,9.74,6,12,1,25,27,33,2
40,1,993,4,3,847,9,77,9.74,6,12,1,25,27,33,2
56,1,995,3,3,1.132,11,113,14.27,6,12,1,19,32,33,4
37,1,997,4,3,0.85,10,84,10.59,7,15,1,25,27,33,2
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
40,1,998,4,3,887,10,79,9.95,6,15,2,21,27,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
50,1,998,4,3,0.967,10,90,11.33,6,11,2,21,29,33,4
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
37,1,999,4,3,1.52,11,86,10.82,6,12,1,20,27,33,2
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,999,4,3,1.16,10,82,10.31,6,12,1,25,27,33,3
40,1,1108,4,3,1.29,10,86,9.75,6,12,1,21,27,33,2
40,1,1108,4,3,1.29,10,86,9.75,6,12,1,21,27,33,2
44,1,1124,4,3,958,9,88,9.84,6,12,1,25,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
44,1,1124,4,3,958,10,91,10.17,6,12,1,20,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
43,1,1149,4,3,1113,10,93,10.17,6,12,1,19,27,33,2
45,2,1191,3,3,1129,20,140,14.77,6,12,1,21,0,0,2
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
48,1,1199,4,3,1.1,10,110,11.53,6,15,2,20,27,33,4
55,1,1199,4,3,1.1,10,110,11.53,6,9,2,20,27,33,4
54,1,1241,4,3,1113,10,104,10.53,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,102,10.32,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,102,10.32,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,98,9.92,6,12,1,21,27,33,2
44,1,1242,4,3,1114,10,98,9.92,6,12,1,21,27,33,2
55,1,1242,4,3,1.64,10,110,11.13,6,14,2,21,27,33,4
55,1,1242,4,3,1.64,10,110,11.13,6,14,2,21,27,33,4
55,1,1242,4,3,1.64,10,110,11.13,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
59,1,1242,4,3,1114,11,114,11.53,6,12,2,21,27,33,4
60,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
60,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
63,1,1242,4,3,1114,10,113,11.43,6,14,2,21,27,33,4
55,1,1275,4,3,1.134,10,103,10.15,6,15,2,21,27,33,4
55,1,1275,4,3,1.134,10,103,10.15,6,15,2,21,27,33,4
40,1,1289,4,3,0.954,10,99,9.65,7,15,1,25,27,33,2
50,1,1289,4,3,0.954,10,106,10.33,7,15,1,25,27,33,2
44,1,1296,4,3,0.94,10,84,8.14,6,12,1,25,27,33,4
44,1,1296,4,3,0.94,10,84,8.14,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
61,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
62,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
62,1,1296,4,3,0.94,10,105,10.18,6,12,1,25,27,33,4
37,1,1297,4,3,1.21,10,93,9.01,7,9,1,23,27,33,2
37,1,1297,4,3,1.21,10,93,9.01,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,103,9.98,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,105,10.17,7,9,1,23,27,33,2
44,1,1297,4,3,1.21,10,105,10.17,7,9,1,23,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
50,1,1299,4,3,1.2,10,99,9.58,6,12,1,25,27,33,2
51,1,1299,4,3,1.2,10,103,9.96,6,12,1,25,27,33,2
51,1,1299,4,3,1.2,10,103,9.96,6,12,1,25,27,33,2
55,1,1299,4,3,1155,10,108,10.45,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,108,10.45,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
55,1,1299,4,3,1155,10,107,10.35,6,12,1,19,27,33,3
56,1,1299,4,3,1.2,10,115,11.13,6,12,1,26,27,33,4
56,1,1299,4,3,1.2,10,115,11.13,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
59,1,1299,4,3,1.2,10,104,10.06,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,1.2,10,106,10.25,6,12,1,26,27,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,0.98,11,124,12,6,11,2,21,29,33,4
63,1,1299,4,3,1155,10,117,11.32,6,12,1,19,27,33,4
46,1,1324,4,3,1178,9,103,9.78,6,12,1,19,27,33,4
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
47,1,1324,4,3,1178,10,102,9.68,6,12,1,25,27,33,2
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
54,1,1324,4,3,1178,9,108,10.25,6,12,1,19,27,33,4
55,1,1341,4,3,1168,10,114,10.68,6,12,1,19,27,33,3
55,1,1341,4,3,1168,10,114,10.68,6,12,1,19,27,33,3
63,1,1341,4,3,1168,10,115,10.78,6,12,1,19,27,33,3
63,1,1341,4,3,1168,10,115,10.78,6,12,1,19,27,33,3
48,1,1343,4,3,1.13,9,108,10.11,6,12,1,25,27,33,2
48,1,1343,4,3,1.13,9,108,10.11,6,12,1,25,27,33,2
55,1,1349,4,3,0.96,10,115,10.71,6,12,1,0,27,33,2
55,1,1349,4,3,0.96,10,115,10.71,6,12,1,0,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,20,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
55,1,1361,4,3,1.27,10,111,10.25,6,12,1,25,27,33,2
76,1,1370,4,3,0.791,11,124,11.37,6,12,2,21,28,33,4
76,1,1370,4,3,0.791,11,124,11.37,6,12,2,21,28,33,4
55,1,1388,4,3,1.7,11,123,11.14,6,14,2,21,27,33,4
66,1,1389,4,3,946,11,125,11.31,6,12,2,21,27,33,4
66,1,1389,4,3,946,11,125,11.31,6,12,2,21,27,33,4
66,1,1389,4,3,946,11,125,11.31,6,12,2,21,27,33,4
66,1,1389,4,3,946,11,125,11.31,6,12,2,21,27,33,4
44,1,1390,4,3,988,11,116,10.49,6,12,1,20,27,33,2
44,1,1390,4,3,988,10,116,10.49,6,12,1,20,27,33,2
44,1,1390,4,3,988,10,116,10.49,6,12,1,20,27,33,2
44,1,1390,4,3,988,10,116,10.49,6,12,1,20,27,33,2
55,1,1390,4,3,988,11,126,11.39,6,12,2,20,27,33,4
55,1,1390,4,3,988,11,128,11.57,6,12,2,20,27,33,4
55,1,1390,4,3,1.16,10,107,9.67,6,12,1,25,27,33,2
55,1,1390,4,3,1.16,10,114,10.31,6,12,1,19,27,33,2
55,1,1390,4,3,1.16,10,114,10.31,6,12,1,19,27,33,2
55,1,1390,4,3,988,11,128,11.57,6,12,2,20,27,33,4
55,1,1390,4,3,988,11,126,11.39,6,12,2,20,27,33,4
70,1,1390,4,3,1.16,9999,127,11.48,6,12,2,20,27,33,4
74,1,1390,4,3,988,11,128,11.57,6,12,2,20,27,33,4
74,1,1390,4,3,988,11,126,11.39,6,12,2,20,27,33,4
55,1,1392,4,3,1111,10,116,10.47,6,9,2,21,27,33,4
55,1,1396,4,3,1.53,10,112,10.08,6,12,1,25,27,33,4
55,1,1396,4,3,1.53,9,111,9.99,6,12,1,25,27,33,4
55,1,1396,4,3,1.53,9,111,9.99,6,12,1,25,27,33,4
62,1,1396,4,3,1.53,11,110,9.9,6,12,2,21,27,33,4
66,1,1396,4,3,1.53,10,127,11.43,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,10,127,11.43,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,10,127,11.43,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,10,127,11.43,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,9,120,10.8,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,9,120,10.8,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,9,120,10.8,6,12,1,25,27,33,4
66,1,1396,4,3,1.53,9,120,10.8,6,12,1,25,27,33,4
76,1,1396,4,3,1.53,11,123,11.07,6,12,2,21,27,33,4
76,1,1396,4,3,1.53,11,123,11.07,6,12,2,21,27,33,4
76,1,1396,4,3,1.53,11,123,11.07,6,12,2,21,27,33,4
50,1,1397,4,3,1.33,10,120,10.79,7,15,1,25,27,33,2
60,1,1397,4,3,0.869,11,130,11.69,6,9,1,19,27,33,2
60,1,1397,4,3,0.869,11,130,11.69,6,9,1,19,27,33,2
60,1,1397,4,3,0.869,11,130,11.69,6,9,1,19,27,33,2
60,1,1397,4,3,0.869,11,130,11.69,6,9,1,19,27,33,2
71,1,1398,4,3,0.93,11,130,11.69,6,11,2,21,29,33,4
71,1,1398,4,3,0.93,11,130,11.69,6,11,2,21,29,33,4
71,1,1398,4,3,0.93,11,130,11.69,6,11,2,21,29,33,4
71,1,1398,4,3,0.93,11,130,11.69,6,11,2,21,29,33,4
55,2,1422,3,3,1.21,20,195,17.23,6,12,1,21,0,0,2
55,2,1422,3,3,1.21,20,195,17.23,6,12,1,21,0,0,2
49,2,1487,4,3,1.79,22,132,11.16,6,12,1,21,0,0,2
65,1,1489,4,3,1.11,9,132,11.14,6,13,2,21,27,33,4
65,1,1489,4,3,1.11,9,132,11.14,6,13,2,21,27,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
84,1,1493,4,3,1127,10,134,11.28,6,12,1,25,32,33,4
55,1,1498,4,3,1.5,9,116,9.73,6,12,1,19,27,33,4
55,1,1498,4,3,1.5,9,116,9.73,6,12,1,19,27,33,4
59,1,1498,4,3,1.5,9,120,10.07,6,12,1,25,27,33,2
59,1,1498,4,3,1.5,9,120,10.07,6,12,1,25,27,33,2
59,1,1498,4,3,1.5,9,120,10.07,6,12,1,25,27,33,2
59,1,1498,4,3,1.5,9,120,10.07,6,12,1,25,27,33,2
63,1,1498,4,3,1.65,10,130,10.91,6,12,1,0,27,33,2
63,1,1498,4,3,1.65,10,130,10.91,6,12,1,0,27,33,2
63,1,1498,4,3,1.65,10,130,10.91,6,12,1,0,27,33,2
63,1,1498,4,3,1.65,10,130,10.91,6,12,1,0,27,33,2
65,1,1498,4,3,1.5,9,132,11.07,6,13,2,21,27,33,4
65,1,1498,4,3,1.5,9,132,11.07,6,13,2,21,27,33,4
65,1,1498,4,3,1.5,9,132,11.07,6,13,2,21,27,33,4
65,1,1498,4,3,1.5,9,132,11.07,6,13,2,21,27,33,4
65,1,1498,4,3,1.5,9,135,11.32,6,12,2,25,27,33,4
65,1,1498,4,3,1.5,9,135,11.32,6,12,2,25,27,33,4
65,1,1498,4,3,1.5,9,135,11.32,6,12,2,25,27,33,4
65,1,1498,4,3,1.5,9,135,11.32,6,12,2,25,27,33,4
66,1,1499,4,3,1.87,10,119,9.98,6,12,1,25,27,33,4
66,1,1499,4,3,1.87,10,119,9.98,6,12,1,25,27,33,4
40,2,1527,4,3,1.65,23,95,7.82,6,12,1,21,27,33,2
42,2,1527,4,3,1.65,23,95,7.82,6,12,1,21,27,33,2
74,1,1581,4,3,0.78,10,140,11.13,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,11,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,10,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,11,144,11.45,6,12,2,21,27,33,4
76,1,1581,4,3,0.78,11,144,11.45,6,12,2,21,27,33,4
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,25,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,25,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,25,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,20,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,20,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,20,27,33,2
65,1,1587,4,3,1.45,10,135,10.69,6,12,1,25,27,33,2
77,1,1587,4,3,951,10,143,11.32,6,12,2,21,27,33,4
77,1,1587,4,3,951,10,143,11.32,6,12,2,21,27,33,4
81,1,1587,4,3,951,10,145,11.48,6,14,2,21,27,33,4
81,1,1587,4,3,951,10,145,11.48,6,14,2,21,27,33,4
81,1,1587,4,3,951,10,145,11.48,6,14,2,21,27,33,4
87,1,1587,4,3,1.45,11,145,11.48,6,12,2,21,27,33,4
80,1,1588,4,3,988,11,138,10.92,6,12,2,21,27,33,4
80,1,1588,4,3,988,11,138,10.92,6,12,2,21,27,33,4
80,1,1588,4,3,988,11,138,10.92,6,12,2,21,27,33,4
116,1,1588,4,3,988,8,198,15.67,6,12,2,21,0,0,4
73,1,1589,4,3,1153,11,138,10.91,6,12,1,25,27,33,4
73,1,1589,4,3,1153,11,138,10.91,6,12,1,25,27,33,4
73,1,1589,4,3,1153,11,138,10.91,6,12,1,25,27,33,4
73,1,1589,4,3,1153,11,138,10.91,6,12,1,25,27,33,4
67,1,1590,4,3,1153,10,126,9.96,6,12,1,25,27,33,4
67,1,1590,4,3,1153,10,126,9.96,6,12,1,25,27,33,4
67,1,1590,4,3,1153,10,126,9.96,6,12,1,25,27,33,4
67,1,1590,4,3,1153,10,126,9.96,6,12,1,25,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
71,1,1590,4,3,1.2,10,134,10.59,6,12,1,26,27,33,4
77,1,1590,4,3,1.2,9,140,11.06,6,12,1,25,27,33,4
77,1,1590,4,3,1.2,9,140,11.06,6,12,1,25,27,33,4
77,1,1590,4,3,1.2,10,135,10.67,6,12,1,25,27,33,4
77,1,1590,4,3,1.2,10,135,10.67,6,12,1,25,27,33,4
77,1,1590,4,3,1.2,10,135,10.67,6,12,1,25,27,33,4
77,1,1590,4,3,1.2,10,135,10.67,6,12,1,25,27,33,4
84,1,1590,4,3,1.2,9,140,11.06,6,12,1,25,32,33,4
85,1,1590,4,3,1.2,10,143,11.3,6,12,1,25,27,33,4
85,1,1590,4,3,1.2,10,143,11.3,6,12,1,25,27,33,4
85,1,1590,4,3,1.2,10,143,11.3,6,12,1,25,27,33,4
85,1,1590,4,3,1.2,10,143,11.3,6,12,1,25,27,33,4
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,20,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,20,27,33,2
74,1,1595,4,3,956,10,140,11.03,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,140,11.03,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,140,11.03,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,140,11.03,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
74,1,1595,4,3,956,10,145,11.42,6,12,1,21,27,33,2
118,1,1595,4,3,956,10,150,11.82,6,12,2,22,32,37,4
74,1,1596,4,3,1.3,11,145,11.42,6,14,2,21,27,33,4
74,1,1596,4,3,1.3,11,145,11.42,6,14,2,21,27,33,4
66,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
66,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
66,1,1597,4,3,1158,10,135,10.62,6,9,2,21,27,33,4
66,1,1597,4,3,1158,10,135,10.62,6,9,2,21,27,33,4
66,1,1597,4,3,1158,10,130,10.23,6,12,2,21,27,33,4
66,1,1597,4,3,1158,10,136,10.7,6,9,2,21,27,33,4
70,1,1597,4,5,0.749,10,143,11.25,6,12,2,25,27,33,4
70,1,1597,4,5,0.749,10,143,11.25,6,12,2,25,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,0.957,10,135,10.62,6,12,1,19,27,33,4
70,1,1597,4,3,1158,10,142,11.17,6,12,2,21,27,33,4
71,1,1597,4,3,1158,10,131,10.31,6,9,2,21,27,33,4
73,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
73,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
73,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
73,1,1597,4,3,0.957,10,137,10.78,6,12,1,19,27,33,4
73,1,1597,4,3,1158,10,136,10.7,6,9,2,21,27,33,4
83,1,1597,4,3,0.957,10,137,10.78,6,12,1,25,27,33,4
83,1,1597,4,3,0.957,10,137,10.78,6,12,1,25,27,33,4
55,1,1598,4,3,1.32,10,128,10.07,6,12,1,22,27,33,2
55,1,1598,4,3,1.32,10,128,10.07,6,12,1,22,27,33,2
55,1,1598,4,3,1.32,10,128,10.07,6,12,1,22,27,33,2
55,1,1598,4,3,1.32,10,128,10.07,6,12,1,22,27,33,2
