"target","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
24,6,18,2.31,0,538,6575,65.2,4.09,1,296,15.3,396898,4.98
21.6,27,0,7.07,0,469,6421,78.9,4967,2,242,17.8,396898,9.14
34.7,27,0,7.07,0,469,7185,61.1,4967,2,242,17.8,392828,4.03
33.4,32,0,2.18,0,458,6998,45.8,6062,3,222,18.7,394629,2.94
36.2,69,0,2.18,0,458,7147,54.2,6062,3,222,18.7,396898,5.33
28.7,0.03,0,2.18,0,458,6.43,58.7,6062,3,222,18.7,394119,5.21
22.9,88,12.5,7.87,0,524,6012,66.6,5.56,5,311,15.2,395.6,12.43
27.1,145,12.5,7.87,0,524,6172,96.1,5.95,5,311,15.2,396898,19.15
16.5,211,12.5,7.87,0,524,5631,100,6082,5,311,15.2,386629,29.93
18.9,0.17,12.5,7.87,0,524,6004,85.9,6592,5,311,15.2,386709,17.1
15,225,12.5,7.87,0,524,6377,94.3,6347,5,311,15.2,392.52,20.45
18.9,117,12.5,7.87,0,524,6009,82.9,6227,5,311,15.2,396898,13.27
21.7,94,12.5,7.87,0,524,5889,39,5451,5,311,15.2,390.5,15.71
20.4,0.63,0,8.14,0,538,5949,61.8,4707,4,307,21,396898,8.26
18.2,638,0,8.14,0,538,6096,84.5,4462,4,307,21,380.02,10.26
19.9,627,0,8.14,0,538,5834,56.5,4499,4,307,21,395619,8.47
23.1,1054,0,8.14,0,538,5935,29.3,4499,4,307,21,386.85,6.58
17.5,784,0,8.14,0,538,5.99,81.7,4258,4,307,21,386.75,14.67
20.2,803,0,8.14,0,538,5456,36.6,3796,4,307,21,288988,11.69
18.2,726,0,8.14,0,538,5727,69.5,3796,4,307,21,390949,11.28
13.6,1252,0,8.14,0,538,5.57,98.1,3798,4,307,21,376568,21.02
19.6,852,0,8.14,0,538,5965,89.2,4012,4,307,21,392529,13.83
15.2,1232,0,8.14,0,538,6142,91.7,3977,4,307,21,396898,18.72
14.5,988,0,8.14,0,538,5813,100,4095,4,307,21,394539,19.88
15.6,0.75,0,8.14,0,538,5924,94.1,4.4,4,307,21,394328,16.3
13.9,841,0,8.14,0,538,5599,85.7,4455,4,307,21,303.42,16.51
16.6,672,0,8.14,0,538,5813,90.3,4682,4,307,21,376879,14.81
14.8,956,0,8.14,0,538,6047,88.8,4453,4,307,21,306379,17.28
18.4,773,0,8.14,0,538,6495,94.4,4455,4,307,21,387939,12.8
21,1002,0,8.14,0,538,6674,87.3,4239,4,307,21,380229,11.98
12.7,1131,0,8.14,0,538,5713,94.1,4233,4,307,21,360.17,22.6
14.5,1355,0,8.14,0,538,6072,100,4175,4,307,21,376729,13.04
13.2,1388,0,8.14,0,538,5.95,82,3.99,4,307,21,232.6,27.71
13.1,1152,0,8.14,0,538,5701,95,3787,4,307,21,358.77,18.35
13.5,1613,0,8.14,0,538,6096,96.9,3.76,4,307,21,248.31,20.34
18.9,64,0,5.96,0,499,5933,68.2,3.36,5,279,19.2,396898,9.68
20,97,0,5.96,0,499,5841,61.4,3378,5,279,19.2,377559,11.41
21,0.08,0,5.96,0,499,5.85,41.5,3934,5,279,19.2,396898,8.77
24.7,175,0,5.96,0,499,5966,30.2,3847,5,279,19.2,393.43,10.13
30.8,28,75,2.95,0,428,6595,21.8,5401,3,252,18.3,395629,4.32
34.9,34,75,2.95,0,428,7024,15.8,5401,3,252,18.3,395619,1.98
26.6,127,0,6.91,0,448,6.77,2.9,5721,3,233,17.9,385408,4.84
25.3,141,0,6.91,0,448,6169,6.6,5721,3,233,17.9,383369,5.81
24.7,159,0,6.91,0,448,6211,6.5,5721,3,233,17.9,394459,7.44
21.2,123,0,6.91,0,448,6069,40,5721,3,233,17.9,389389,9.55
19.3,171,0,6.91,0,448,5682,33.8,5.1,3,233,17.9,396898,10.21
20,188,0,6.91,0,448,5786,33.3,5.1,3,233,17.9,396898,14.15
16.6,229,0,6.91,0,448,6.03,85.5,5689,3,233,17.9,392738,18.8
14.4,254,0,6.91,0,448,5399,95.3,5.87,3,233,17.9,396898,30.81
19.4,0.22,0,6.91,0,448,5602,62,6088,3,233,17.9,396898,16.2
19.7,89,21,5.64,0,439,5963,45.7,6815,4,243,16.8,395559,13.45
20.5,43,21,5.64,0,439,6115,63,6815,4,243,16.8,393969,9.43
25,54,21,5.64,0,439,6511,21.1,6815,4,243,16.8,396898,5.28
23.4,0.05,21,5.64,0,439,5998,21.4,6815,4,243,16.8,396898,8.43
18.9,14,75,4,0,0.41,5888,47.6,7.32,3,469,21.1,396898,14.8
35.4,13,90,1.22,0,403,7249,21.9,8697,5,226,17.9,395.93,4.81
24.7,21,85,0.74,0,0.41,6383,35.7,9188,2,313,17.3,396898,5.77
31.6,14,100,1.32,0,411,6816,40.5,8325,5,256,15.1,392898,3.95
23.3,154,25,5.13,0,453,6145,29.2,7815,8,284,19.7,390.68,6.86
19.6,103,25,5.13,0,453,5927,47.2,6932,8,284,19.7,396898,9.22
18.7,149,25,5.13,0,453,5741,66.2,7225,8,284,19.7,395109,13.15
16,172,25,5.13,0,453,5966,93.4,6818,8,284,19.7,378078,14.44
22.2,0.11,25,5.13,0,453,6456,67.8,7225,8,284,19.7,396898,6.73
25,126,25,5.13,0,453,6762,43.4,7981,8,284,19.7,395578,9.5
33,0.02,17.5,1.38,0,416,7104,59.5,9223,3,216,18.6,393238,8.05
23.5,36,80,3.37,0,398,6.29,17.8,6611,4,337,16.1,396898,4.67
19.4,44,80,3.37,0,398,5787,31.1,6611,4,337,16.1,396898,10.24
22,58,12.5,6.07,0,409,5878,21.4,6498,4,345,18.9,396209,8.1
17.4,136,12.5,6.07,0,409,5594,36.8,6498,4,345,18.9,396898,13.09
20.9,128,12.5,6.07,0,409,5885,33,6498,4,345,18.9,396898,8.79
24.2,88,0,10.81,0,413,6417,6.6,5287,4,305,19.2,383729,6.72
21.7,159,0,10.81,0,413,5961,17.5,5287,4,305,19.2,376939,9.88
22.8,92,0,10.81,0,413,6065,7.8,5287,4,305,19.2,390908,5.52
23.4,195,0,10.81,0,413,6245,6.2,5287,4,305,19.2,377.17,7.54
24.1,79,0,12.83,0,437,6273,6,4251,5,398,18.7,394.92,6.78
21.4,95,0,12.83,0,437,6286,45,4503,5,398,18.7,383229,8.94
20,102,0,12.83,0,437,6279,74.5,4052,5,398,18.7,373658,11.97
20.8,87,0,12.83,0,437,6.14,45.8,4.09,5,398,18.7,386959,10.27
21.2,56,0,12.83,0,437,6232,53.7,5014,5,398,18.7,386398,12.34
20.3,84,0,12.83,0,437,5874,36.6,4503,5,398,18.7,396059,9.1
28,41,25,4.86,0,426,6727,33.5,5401,4,281,19,396898,5.29
23.9,45,25,4.86,0,426,6619,70.4,5401,4,281,19,395629,7.22
24.8,37,25,4.86,0,426,6302,32.2,5401,4,281,19,396898,6.72
22.9,36,25,4.86,0,426,6167,46.7,5401,4,281,19,390639,7.51
23.9,51,0,4.49,0,449,6389,48,4779,3,247,18.5,396898,9.62
26.6,57,0,4.49,0,449,6.63,56.1,4438,3,247,18.5,392299,6.53
22.5,52,0,4.49,0,449,6015,45.1,4427,3,247,18.5,395988,12.86
22.2,72,0,4.49,0,449,6121,56.8,3748,3,247,18.5,395148,8.44
23.6,57,0,3.41,0,489,7007,86.3,3422,2,270,17.8,396898,5.5
28.7,53,0,3.41,0,489,7079,63.1,3414,2,270,17.8,396059,5.7
22.6,47,0,3.41,0,489,6417,66.1,3092,2,270,17.8,392.18,8.81
22,39,0,3.41,0,489,6405,73.9,3092,2,270,17.8,393549,8.2
22.9,42,28,15.04,0,464,6442,53.6,3666,4,270,18.2,395.01,8.16
25,29,28,15.04,0,464,6211,28.9,3666,4,270,18.2,396328,6.21
20.6,43,28,15.04,0,464,6249,77.3,3615,4,270,18.2,396898,10.59
28.4,122,0,2.89,0,445,6625,57.8,3495,2,276,18,357979,6.65
21.4,115,0,2.89,0,445,6163,69.6,3495,2,276,18,391828,11.34
38.7,121,0,2.89,0,445,8069,76,3495,2,276,18,396898,4.21
43.8,82,0,2.89,0,445,7.82,36.9,3495,2,276,18,393529,3.57
33.2,69,0,2.89,0,445,7416,62.5,3495,2,276,18,396898,6.19
27.5,149,0,8.56,0,0.52,6727,79.9,2778,5,384,20.9,394.76,9.42
26.5,114,0,8.56,0,0.52,6781,71.3,2856,5,384,20.9,395578,7.67
18.6,229,0,8.56,0,0.52,6405,85.4,2715,5,384,20.9,70.8,10.63
19.3,212,0,8.56,0,0.52,6137,87.4,2715,5,384,20.9,394469,13.44
20.1,0.14,0,8.56,0,0.52,6167,90,2421,5,384,20.9,392689,12.33
19.5,133,0,8.56,0,0.52,5851,96.7,2107,5,384,20.9,394049,16.47
19.5,171,0,8.56,0,0.52,5836,91.9,2211,5,384,20.9,395.67,18.66
20.4,131,0,8.56,0,0.52,6127,85.2,2122,5,384,20.9,387689,14.09
19.8,128,0,8.56,0,0.52,6474,97.1,2433,5,384,20.9,395238,12.27
19.4,264,0,8.56,0,0.52,6229,91.2,2545,5,384,20.9,391229,15.55
21.7,108,0,8.56,0,0.52,6195,54.4,2778,5,384,20.9,393488,13
22.8,101,0,10.01,0,547,6715,81.6,2677,6,432,17.8,395.59,10.16
18.8,123,0,10.01,0,547,5913,92.9,2353,6,432,17.8,394949,16.21
18.7,222,0,10.01,0,547,6092,95.4,2548,6,432,17.8,396898,17.09
18.5,142,0,10.01,0,547,6254,84.2,2256,6,432,17.8,388738,10.45
18.3,171,0,10.01,0,547,5928,88.2,2463,6,432,17.8,344908,15.76
21.2,132,0,10.01,0,547,6176,72.5,2.73,6,432,17.8,393299,12.04
19.2,151,0,10.01,0,547,6021,82.6,2747,6,432,17.8,394.51,10.3
20.4,131,0,10.01,0,547,5872,73.1,2477,6,432,17.8,338629,15.37
19.3,145,0,10.01,0,547,5731,65.2,2759,6,432,17.8,391.5,13.61
22,69,0,25.65,0,581,5.87,69.7,2258,2,188,19.1,389148,14.37
20.3,72,0,25.65,0,581,6004,84.1,2197,2,188,19.1,377.67,14.27
20.5,93,0,25.65,0,581,5961,92.9,2087,2,188,19.1,378.09,17.93
17.3,0.15,0,25.65,0,581,5856,97,1944,2,188,19.1,370309,25.41
18.8,98,0,25.65,0,581,5879,95.8,2006,2,188,19.1,379379,17.58
21.4,169,0,25.65,0,581,5986,88.4,1993,2,188,19.1,385.02,14.81
15.7,387,0,25.65,0,581,5613,95.6,1757,2,188,19.1,359289,27.26
16.2,259,0,21.89,0,624,5693,96,1788,4,437,21.2,392109,17.19
18,325,0,21.89,0,624,6431,98.8,1812,4,437,21.2,396898,15.39
14.3,881,0,21.89,0,624,5637,94.7,1.98,4,437,21.2,396898,18.34
19.2,0.34,0,21.89,0,624,6458,98.9,2118,4,437,21.2,395039,12.6
19.6,1193,0,21.89,0,624,6326,97.7,2271,4,437,21.2,396898,12.26
23,0.59,0,21.89,0,624,6372,97.9,2327,4,437,21.2,385.76,11.12
18.4,0.33,0,21.89,0,624,5822,95.4,2.47,4,437,21.2,388689,15.03
15.6,976,0,21.89,0,624,5757,98.4,2346,4,437,21.2,262.76,17.31
18.1,558,0,21.89,0,624,6335,98.2,2111,4,437,21.2,394.67,16.96
17.4,323,0,21.89,0,624,5942,93.5,1967,4,437,21.2,378.25,16.9
17.1,352,0,21.89,0,624,6454,98.4,1.85,4,437,21.2,394078,14.59
13.3,0.25,0,21.89,0,624,5857,98.2,1669,4,437,21.2,392039,21.32
17.8,545,0,21.89,0,624,6151,97.9,1669,4,437,21.2,396898,18.46
14,291,0,21.89,0,624,6174,93.6,1612,4,437,21.2,388078,24.16
14.4,1629,0,21.89,0,624,5019,100,1439,4,437,21.2,396898,34.41
13.4,3321,0,19.58,1,871,5403,100,1322,5,403,14.7,396898,26.82
15.6,4097,0,19.58,0,871,5468,100,1412,5,403,14.7,396898,26.42
11.8,2.78,0,19.58,0,871,4903,97.8,1346,5,403,14.7,396898,29.29
13.8,2379,0,19.58,0,871,6.13,100,1419,5,403,14.7,172909,27.8
15.6,2155,0,19.58,0,871,5628,100,1517,5,403,14.7,169.27,16.65
14.6,2369,0,19.58,0,871,4926,95.7,1461,5,403,14.7,391709,29.53
17.8,2331,0,19.58,0,871,5186,93.8,1.53,5,403,14.7,356988,28.32
15.4,2734,0,19.58,0,871,5597,94.9,1526,5,403,14.7,351.85,21.45
21.5,1657,0,19.58,0,871,6122,97.3,1618,5,403,14.7,372799,14.1
19.6,1496,0,19.58,0,871,5404,100,1592,5,403,14.7,341.6,13.28
15.3,1127,0,19.58,1,871,5012,88,1.61,5,403,14.7,343279,12.12
19.4,2149,0,19.58,0,871,5709,98.5,1623,5,403,14.7,261949,15.79
17,1414,0,19.58,1,871,6129,96,1749,5,403,14.7,321.02,15.12
15.6,3535,0,19.58,1,871,6152,82.6,1745,5,403,14.7,88.01,15.02
13.1,2447,0,19.58,0,871,5272,94,1736,5,403,14.7,88.63,16.14
41.3,1224,0,19.58,0,605,6943,97.4,1877,5,403,14.7,363.43,4.59
24.3,1343,0,19.58,0,605,6066,100,1757,5,403,14.7,353889,6.43
23.3,1425,0,19.58,0,871,6.51,100,1766,5,403,14.7,364309,7.39
27,1273,0,19.58,1,605,6.25,92.6,1798,5,403,14.7,338.92,5.5
50,1463,0,19.58,0,605,7489,90.8,1971,5,403,14.7,374.43,1.73
50,1834,0,19.58,1,605,7802,98.2,2041,5,403,14.7,389609,1.92
50,1519,0,19.58,1,605,8375,93.9,2162,5,403,14.7,388449,3.32
22.7,2242,0,19.58,0,605,5854,91.8,2422,5,403,14.7,395109,11.64
25,2924,0,19.58,0,605,6101,93,2283,5,403,14.7,240159,9.81
50,2.01,0,19.58,0,605,7929,96.2,2046,5,403,14.7,369299,3.7
23.8,1.8,0,19.58,0,605,5877,79.2,2426,5,403,14.7,227609,12.14
23.8,2.3,0,19.58,0,605,6319,96.1,2.1,5,403,14.7,297.09,11.1
22.3,2.45,0,19.58,0,605,6402,95.2,2262,5,403,14.7,330039,11.32
17.4,1207,0,19.58,0,605,5875,94.6,2426,5,403,14.7,292289,14.43
19.1,2314,0,19.58,0,605,5.88,97.3,2389,5,403,14.7,348129,12.03
23.1,139,0,4.05,0,0.51,5572,88.5,2596,5,296,16.6,396898,14.69
23.6,92,0,4.05,0,0.51,6416,84.1,2646,5,296,16.6,395.5,9.04
22.6,84,0,4.05,0,0.51,5859,68.7,2702,5,296,16.6,393229,9.64
29.4,67,0,4.05,0,0.51,6546,33.1,3132,5,296,16.6,390959,5.33
23.2,0.07,0,4.05,0,0.51,6.02,47.2,3555,5,296,16.6,393229,10.11
24.6,54,0,4.05,0,0.51,6315,73.4,3317,5,296,16.6,395.6,6.29
29.9,66,0,4.05,0,0.51,6.86,74.4,2915,5,296,16.6,391.27,6.92
37.2,58,0,2.46,0,488,6.98,58.4,2829,3,193,17.8,396898,5.04
39.8,66,0,2.46,0,488,7765,83.3,2741,3,193,17.8,395559,7.56
36.2,69,0,2.46,0,488,6144,62.2,2598,3,193,17.8,396898,9.45
37.9,91,0,2.46,0,488,7155,92.2,2701,3,193,17.8,394119,4.82
32.5,0.1,0,2.46,0,488,6563,95.6,2847,3,193,17.8,396898,5.68
26.4,83,0,2.46,0,488,5604,89.8,2988,3,193,17.8,391,13.98
29.6,0.06,0,2.46,0,488,6153,68.8,3.28,3,193,17.8,387109,13.15
50,56,0,2.46,0,488,7831,53.6,3199,3,193,17.8,392629,4.45
32,79,45,3.44,0,437,6782,41.1,3789,5,398,15.2,393869,6.68
29.8,126,45,3.44,0,437,6556,29.1,4567,5,398,15.2,382.84,4.56
34.9,84,45,3.44,0,437,7185,38.9,4567,5,398,15.2,396898,5.39
37,91,45,3.44,0,437,6951,21.5,6.48,5,398,15.2,377.68,5.1
30.5,69,45,3.44,0,437,6739,30.8,6.48,5,398,15.2,389709,4.69
36.4,87,45,3.44,0,437,7178,26.3,6.48,5,398,15.2,390488,2.87
31.1,22,60,2.93,0,401,6.8,9.9,6.22,1,265,15.6,393369,5.03
29.1,14,60,2.93,0,401,6604,18.8,6.22,1,265,15.6,376699,4.38
50,14,80,0.46,0,422,7875,32,5648,4,255,14.4,394229,2.97
33.3,0.04,80,1.52,0,404,7287,34.1,7309,2,329,12.6,396898,4.08
30.3,47,80,1.52,0,404,7107,36.6,7309,2,329,12.6,354309,8.61
34.6,38,80,1.52,0,404,7274,38.3,7309,2,329,12.6,392199,6.62
34.9,31,95,1.47,0,403,6975,15.3,7653,3,402,17,396898,4.56
32.9,18,95,1.47,0,403,7135,13.9,7653,3,402,17,384299,4.45
24.1,34,82.5,2.03,0,415,6162,38.4,6.27,2,348,14.7,393.77,7.43
42.3,22,82.5,2.03,0,415,7.61,15.7,6.27,2,348,14.7,395379,3.11
48.5,35,95,2.68,0,416,7853,33.2,5118,4,224,14.7,392779,3.81
50,0.02,95,2.68,0,416,8034,31.9,5118,4,224,14.7,390549,2.88
22.6,136,0,10.59,0,489,5891,22.3,3945,4,277,18.6,396898,10.87
24.4,0.23,0,10.59,0,489,6326,52.5,4355,4,277,18.6,394869,10.97
22.5,252,0,10.59,0,489,5783,72.7,4355,4,277,18.6,389.43,18.06
24.4,136,0,10.59,1,489,6064,59.1,4239,4,277,18.6,381318,14.66
20,436,0,10.59,1,489,5344,100,3875,4,277,18.6,396898,23.09
21.7,174,0,10.59,1,489,5.96,92.1,3877,4,277,18.6,393.25,17.27
19.3,376,0,10.59,1,489,5404,88.6,3665,4,277,18.6,395238,23.98
22.4,217,0,10.59,1,489,5807,53.8,3653,4,277,18.6,390939,16.03
28.1,141,0,10.59,0,489,6375,32.3,3945,4,277,18.6,385809,9.38
23.7,0.29,0,10.59,0,489,5412,9.8,3587,4,277,18.6,348.93,29.55
25,198,0,10.59,0,489,6182,42.4,3945,4,277,18.6,393629,9.47
23.3,46,0,13.89,1,0.55,5888,56,3112,5,276,16.4,392799,13.51
28.7,0.07,0,13.89,0,0.55,6642,85.1,3421,5,276,16.4,392779,9.69
21.5,111,0,13.89,1,0.55,5951,93.8,2889,5,276,16.4,396898,17.92
23,114,0,13.89,1,0.55,6373,92.4,3363,5,276,16.4,393738,10.5
26.7,358,0,6.2,1,507,6951,88.5,2862,8,307,17.4,391699,9.71
21.7,408,0,6.2,1,507,6164,91.3,3048,8,307,17.4,395238,21.46
27.5,624,0,6.2,1,507,6879,77.7,3272,8,307,17.4,390389,9.93
30.1,615,0,6.2,0,507,6618,80.8,3272,8,307,17.4,396898,7.6
44.8,315,0,6.2,0,504,8266,78.3,2894,8,307,17.4,385049,4.14
50,527,0,6.2,0,504,8725,83,2894,8,307,17.4,382,4.63
37.6,382,0,6.2,0,504,8.04,86.5,3216,8,307,17.4,387379,3.13
31.6,412,0,6.2,0,504,7163,79.9,3216,8,307,17.4,372078,6.36
46.7,298,0,6.2,0,504,7686,17,3375,8,307,17.4,377.51,3.92
31.5,442,0,6.2,0,504,6552,21.4,3375,8,307,17.4,380.34,3.76
24.3,537,0,6.2,0,504,5981,68.1,3671,8,307,17.4,378.35,11.65
31.7,463,0,6.2,0,504,7412,76.9,3671,8,307,17.4,376139,5.25
41.7,575,0,6.2,0,507,8337,73.3,3838,8,307,17.4,385908,2.47
48.3,331,0,6.2,0,507,8247,70.4,3652,8,307,17.4,378949,3.95
29,448,0,6.2,1,507,6726,66.5,3652,8,307,17.4,360199,8.05
24,0.33,0,6.2,0,507,6086,61.5,3652,8,307,17.4,376.75,10.88
25.1,521,0,6.2,1,507,6631,76.5,4148,8,307,17.4,388449,9.54
31.5,512,0,6.2,0,507,7358,71.6,4148,8,307,17.4,390068,4.73
23.7,82,30,4.93,0,428,6481,18.5,6.19,6,300,16.6,379408,6.36
23.3,93,30,4.93,0,428,6606,42.2,6.19,6,300,16.6,383779,7.37
22,113,30,4.93,0,428,6897,54.3,6336,6,300,16.6,391.25,11.38
20.1,106,30,4.93,0,428,6095,65.1,6336,6,300,16.6,394619,12.4
22.2,103,30,4.93,0,428,6358,52.9,7035,6,300,16.6,372.75,11.22
23.7,128,30,4.93,0,428,6393,7.8,7035,6,300,16.6,374709,5.19
17.6,206,22,5.86,0,431,5593,76.5,7955,7,330,19.1,372488,12.5
18.5,191,22,5.86,0,431,5605,70.2,7955,7,330,19.1,389129,18.46
24.3,0.34,22,5.86,0,431,6108,34.9,8055,7,330,19.1,390.18,9.16
20.5,197,22,5.86,0,431,6226,79.2,8055,7,330,19.1,376139,10.15
24.5,164,22,5.86,0,431,6433,49.1,7826,7,330,19.1,374709,9.52
26.2,191,22,5.86,0,431,6718,17.5,7826,7,330,19.1,393738,6.56
24.4,0.14,22,5.86,0,431,6487,13,7397,7,330,19.1,396279,5.9
24.8,214,22,5.86,0,431,6438,8.9,7397,7,330,19.1,377068,3.59
29.6,82,22,5.86,0,431,6957,6.8,8907,7,330,19.1,386.09,3.53
